id,variant_name,type,pattern,scenario,impact,example
486,Reentrancy Variant 486,Read-only reentrancy,Unsafe external call to attacker contract,Variant #486: Read-only reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
487,Reentrancy Variant 487,ERC777-hook reentrancy,Upgradeable proxy storage collision,Variant #487: ERC777-hook reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
488,Reentrancy Variant 488,ERC777-hook reentrancy,Missing reentrancy guard,Variant #488: ERC777-hook reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
489,Reentrancy Variant 489,Pull-payment reentrancy,State updated after external call,Variant #489: Pull-payment reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
490,Reentrancy Variant 490,Withdraw-before-update reentrancy,Upgradeable proxy storage collision,Variant #490: Withdraw-before-update reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
491,Reentrancy Variant 491,Withdraw-before-update reentrancy,Hooks triggered without control flow guard,Variant #491: Withdraw-before-update reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
492,Reentrancy Variant 492,Cross-contract reentrancy,Missing reentrancy guard,Variant #492: Cross-contract reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
493,Reentrancy Variant 493,Recursive fallback reentrancy,Upgradeable proxy storage collision,Variant #493: Recursive fallback reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
494,Reentrancy Variant 494,Read-only reentrancy,Unsafe external call to attacker contract,Variant #494: Read-only reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
495,Reentrancy Variant 495,Recursive fallback reentrancy,Multiple entry points sharing same state variable,Variant #495: Recursive fallback reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Complete balance drain,Vault updates shares after sending tokens to attacker contract.
496,Reentrancy Variant 496,Reentrancy via delegatecall,Missing reentrancy guard,Variant #496: Reentrancy via delegatecall caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
497,Reentrancy Variant 497,Reentrancy via delegatecall,Hooks triggered without control flow guard,Variant #497: Reentrancy via delegatecall caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
498,Reentrancy Variant 498,Cross-contract reentrancy,Unsafe external call to attacker contract,Variant #498: Cross-contract reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
499,Reentrancy Variant 499,Read-only reentrancy,State updated after external call,Variant #499: Read-only reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Bypassing access restrictions,Vault updates shares after sending tokens to attacker contract.
500,Reentrancy Variant 500,Withdraw-before-update reentrancy,Unsafe external call to attacker contract,Variant #500: Withdraw-before-update reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
501,Reentrancy Variant 501,Reentrancy via delegatecall,Multiple entry points sharing same state variable,Variant #501: Reentrancy via delegatecall caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
502,Reentrancy Variant 502,Reentrancy via delegatecall,Missing reentrancy guard,Variant #502: Reentrancy via delegatecall caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Bypassing access restrictions,Cross-function: deposit() sets state after external token transfer().
503,Reentrancy Variant 503,ERC777-hook reentrancy,Recursive callback before mutation,Variant #503: ERC777-hook reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
504,Reentrancy Variant 504,Read-only reentrancy,Hooks triggered without control flow guard,Variant #504: Read-only reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Complete balance drain,Cross-function: deposit() sets state after external token transfer().
505,Reentrancy Variant 505,ERC777-hook reentrancy,Fallback invoked before state lock,Variant #505: ERC777-hook reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
506,Reentrancy Variant 506,ERC777-hook reentrancy,Recursive callback before mutation,Variant #506: ERC777-hook reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Token supply manipulation,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
507,Reentrancy Variant 507,ERC777-hook reentrancy,Fallback invoked before state lock,Variant #507: ERC777-hook reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Token supply manipulation,Vault updates shares after sending tokens to attacker contract.
508,Reentrancy Variant 508,Single-function reentrancy,Recursive callback before mutation,Variant #508: Single-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
